"paragraphnum","charname","speechcount"
420,"Feste",104
421,"Olivia",118
422,"Sir Toby Belch",152
423,"Olivia",118
666,"(stage directions)",126
821,"Benedick",134
424,"Sir Toby Belch",152
426,"(stage directions)",126
427,"Olivia",118
428,"Feste",104
431,"Olivia",118
434,"Feste",104
436,"(stage directions)",126
437,"(stage directions)",126
438,"Malvolio",87
445,"Olivia",118
446,"Malvolio",87
449,"Olivia",118
450,"Malvolio",87
451,"Olivia",118
452,"Malvolio",87
453,"Olivia",118
454,"Malvolio",87
460,"Olivia",118
461,"Malvolio",87
462,"(stage directions)",126
463,"(stage directions)",126
464,"Olivia",118
466,"(stage directions)",126
467,"Viola",121
468,"Olivia",118
470,"Viola",121
477,"Olivia",118
478,"Viola",121
483,"Viola",121
486,"Olivia",118
487,"Viola",121
492,"Olivia",118
493,"Viola",121
494,"Olivia",118
500,"Maria",59
501,"Viola",121
504,"Olivia",118
506,"Viola",121
509,"Olivia",118
510,"Viola",121
514,"Olivia",118
517,"Viola",121
518,"Olivia",118
520,"Viola",121
521,"Olivia",118
522,"Viola",121
523,"Olivia",118
524,"Viola",121
525,"Olivia",118
530,"(stage directions)",126
531,"Viola",121
532,"Olivia",118
533,"Viola",121
538,"Olivia",118
545,"Viola",121
550,"Olivia",118
551,"Viola",121
553,"Olivia",118
560,"Viola",121
564,"Olivia",118
565,"Viola",121
574,"Olivia",118
576,"Viola",121
578,"Olivia",118
583,"Viola",121
588,"(stage directions)",126
589,"Olivia",118
601,"(stage directions)",126
602,"Malvolio",87
667,"Malvolio",87
668,"Viola",121
603,"Olivia",118
610,"Malvolio",87
611,"(stage directions)",126
612,"Olivia",118
616,"(stage directions)",126
619,"(stage directions)",126
620,"Antonio",26
621,"Sebastian",31
627,"Sebastian",31
640,"Antonio",26
641,"Sebastian",31
648,"Antonio",26
649,"Sebastian",31
650,"Antonio",26
652,"Sebastian",31
658,"(stage directions)",126
659,"Antonio",26
664,"(stage directions)",126
670,"Malvolio",87
677,"Viola",121
678,"Malvolio",87
682,"(stage directions)",126
683,"Viola",121
708,"(stage directions)",126
710,"(stage directions)",126
711,"Sir Toby Belch",152
714,"Sir Andrew Aguecheek",88
716,"Sir Toby Belch",152
721,"Sir Andrew Aguecheek",88
723,"Sir Toby Belch",152
725,"(stage directions)",126
726,"Sir Andrew Aguecheek",88
727,"Feste",104
729,"Sir Toby Belch",152
730,"Sir Andrew Aguecheek",88
738,"Feste",104
741,"Sir Andrew Aguecheek",88
2525,"Lafeu",97
743,"Sir Toby Belch",152
744,"Sir Andrew Aguecheek",88
745,"Feste",104
746,"Sir Toby Belch",152
747,"Sir Andrew Aguecheek",88
748,"Feste",104
755,"Sir Andrew Aguecheek",88
756,"Sir Toby Belch",152
757,"Feste",104
764,"Sir Andrew Aguecheek",88
765,"Sir Toby Belch",152
766,"Sir Andrew Aguecheek",88
767,"Sir Toby Belch",152
771,"Sir Andrew Aguecheek",88
772,"Feste",104
773,"Sir Andrew Aguecheek",88
774,"Feste",104
776,"Sir Andrew Aguecheek",88
778,"Feste",104
779,"Sir Andrew Aguecheek",88
780,"(stage directions)",126
781,"(stage directions)",126
782,"Maria",59
785,"Sir Toby Belch",152
791,"Feste",104
792,"Sir Andrew Aguecheek",88
795,"Sir Toby Belch",152
796,"Maria",59
797,"(stage directions)",126
1044,"Sir Toby Belch",152
1046,"Fabian",51
798,"Malvolio",87
805,"Sir Toby Belch",152
806,"Malvolio",87
813,"Sir Toby Belch",152
814,"Maria",59
815,"Feste",104
816,"Malvolio",87
817,"Sir Toby Belch",152
818,"Feste",104
819,"Malvolio",87
820,"Sir Toby Belch",152
821,"Feste",104
822,"Sir Toby Belch",152
823,"Feste",104
824,"Sir Toby Belch",152
827,"Feste",104
829,"Sir Toby Belch",152
831,"Malvolio",87
834,"(stage directions)",126
835,"Maria",59
836,"Sir Andrew Aguecheek",88
839,"Sir Toby Belch",152
841,"Maria",59
848,"Sir Toby Belch",152
849,"Maria",59
850,"Sir Andrew Aguecheek",88
851,"Sir Toby Belch",152
853,"Sir Andrew Aguecheek",88
855,"Maria",59
863,"Sir Toby Belch",152
864,"Maria",59
871,"Sir Toby Belch",152
872,"Sir Andrew Aguecheek",88
873,"Sir Toby Belch",152
876,"Maria",59
877,"Sir Andrew Aguecheek",88
878,"Maria",59
879,"Sir Andrew Aguecheek",88
880,"Maria",59
885,"(stage directions)",126
886,"Sir Toby Belch",152
887,"Sir Andrew Aguecheek",88
888,"Sir Toby Belch",152
890,"Sir Andrew Aguecheek",88
891,"Sir Toby Belch",152
893,"Sir Andrew Aguecheek",88
894,"Sir Toby Belch",152
896,"Sir Andrew Aguecheek",88
897,"Sir Toby Belch",152
899,"(stage directions)",126
901,"(stage directions)",126
902,"Orsino",59
909,"Curio",4
910,"Orsino",59
911,"Curio",4
2113,"Feste",104
913,"Orsino",59
921,"Viola",121
923,"Orsino",59
927,"Viola",121
928,"Orsino",59
929,"Viola",121
930,"Orsino",59
931,"Viola",121
932,"Orsino",59
939,"Viola",121
940,"Orsino",59
944,"Viola",121
946,"(stage directions)",126
947,"Orsino",59
954,"Feste",104
955,"Orsino",59
958,"Feste",104
974,"Orsino",59
975,"Feste",104
976,"Orsino",59
977,"Feste",104
978,"Orsino",59
1048,"Sir Toby Belch",152
1050,"Sir Andrew Aguecheek",88
979,"Feste",104
985,"(stage directions)",126
986,"Orsino",59
996,"Viola",121
997,"Orsino",59
998,"Viola",121
1003,"Orsino",59
1014,"Viola",121
1015,"Orsino",59
1016,"Viola",121
1021,"Orsino",59
1022,"Viola",121
1031,"Orsino",59
1032,"Viola",121
1035,"Orsino",59
1038,"(stage directions)",126
1040,"(stage directions)",126
1041,"Sir Toby Belch",152
1042,"Fabian",51
1051,"Sir Toby Belch",152
1054,"Maria",59
1062,"(stage directions)",126
1063,"(stage directions)",126
1064,"Malvolio",87
1070,"Sir Toby Belch",152
1071,"Fabian",51
1073,"Sir Andrew Aguecheek",88
1074,"Sir Toby Belch",152
1075,"Malvolio",87
1076,"Sir Toby Belch",152
1077,"Sir Andrew Aguecheek",88
1078,"Sir Toby Belch",152
1079,"Malvolio",87
1081,"Sir Andrew Aguecheek",88
1082,"Fabian",51
1084,"Malvolio",87
1086,"Sir Toby Belch",152
1087,"Malvolio",87
1090,"Sir Toby Belch",152
1091,"Fabian",51
1092,"Malvolio",87
1096,"Sir Toby Belch",152
1097,"Fabian",51
1098,"Malvolio",87
1102,"Sir Toby Belch",152
1103,"Fabian",51
1104,"Malvolio",87
1106,"Sir Toby Belch",152
1107,"Malvolio",87
1109,"Sir Toby Belch",152
1110,"Malvolio",87
1111,"Sir Toby Belch",152
2114,"Malvolio",87
1112,"Fabian",51
1113,"Malvolio",87
1115,"Sir Andrew Aguecheek",88
1116,"Malvolio",87
1117,"Sir Andrew Aguecheek",88
1118,"Malvolio",87
1119,"(stage directions)",126
1120,"Fabian",51
1121,"Sir Toby Belch",152
1123,"Malvolio",87
1126,"Sir Andrew Aguecheek",88
1127,"Malvolio",87
1131,"Fabian",51
1132,"Malvolio",87
1139,"Sir Toby Belch",152
1140,"Malvolio",87
1145,"Fabian",51
1146,"Sir Toby Belch",152
1147,"Malvolio",87
1149,"Fabian",51
1150,"Sir Toby Belch",152
1151,"Malvolio",87
1158,"Sir Toby Belch",152
1159,"Fabian",51
1161,"Malvolio",87
1162,"Fabian",51
1164,"Malvolio",87
1166,"Fabian",51
1167,"Sir Toby Belch",152
1168,"Malvolio",87
1169,"Fabian",51
2115,"Feste",104
1172,"Malvolio",87
1217,"(stage directions)",126
1218,"Fabian",51
1220,"Sir Toby Belch",152
1221,"Sir Andrew Aguecheek",88
1222,"Sir Toby Belch",152
1223,"Sir Andrew Aguecheek",88
1224,"Fabian",51
1225,"(stage directions)",126
1226,"Sir Toby Belch",152
1227,"Sir Andrew Aguecheek",88
1228,"Sir Toby Belch",152
1230,"Sir Andrew Aguecheek",88
1231,"Sir Toby Belch",152
1233,"Maria",59
1234,"Sir Toby Belch",152
1235,"Maria",59
1244,"Sir Toby Belch",152
1245,"Sir Andrew Aguecheek",88
1246,"(stage directions)",126
1249,"(stage directions)",126
1250,"Viola",121
1252,"Feste",104
1253,"Viola",121
1254,"Feste",104
1257,"Viola",121
1260,"Feste",104
1263,"Viola",121
1265,"Feste",104
1266,"Viola",121
1323,"Sir Toby Belch",152
1267,"Feste",104
1270,"Viola",121
1271,"Feste",104
1274,"Viola",121
1275,"Feste",104
1278,"Viola",121
1279,"Feste",104
1284,"Viola",121
1285,"Feste",104
1289,"Viola",121
1291,"Feste",104
1292,"Viola",121
1297,"Feste",104
1298,"Viola",121
1299,"Feste",104
1301,"Viola",121
1302,"Feste",104
1307,"(stage directions)",126
1308,"Viola",121
1317,"(stage directions)",126
1318,"Sir Toby Belch",152
1319,"Viola",121
1320,"Sir Andrew Aguecheek",88
1321,"Viola",121
1322,"Sir Andrew Aguecheek",88
1325,"Viola",121
1327,"Sir Toby Belch",152
1328,"Viola",121
1330,"Sir Toby Belch",152
1331,"Viola",121
1336,"Sir Andrew Aguecheek",88
1337,"Viola",121
1339,"Sir Andrew Aguecheek",88
1341,"Olivia",118
1344,"Viola",121
1345,"Olivia",118
1346,"Viola",121
1347,"Olivia",118
1350,"Viola",121
1352,"Olivia",118
1354,"Viola",121
1356,"Olivia",118
1361,"Viola",121
1362,"Olivia",118
1373,"Viola",121
1374,"Olivia",118
1375,"Viola",121
1377,"Olivia",118
1994,"Sir Andrew Aguecheek",88
2116,"Malvolio",87
1387,"Viola",121
1390,"Olivia",118
1392,"Viola",121
1393,"Olivia",118
1394,"Viola",121
1395,"Olivia",118
1396,"Viola",121
1398,"Olivia",118
1410,"Viola",121
1416,"Olivia",118
1418,"(stage directions)",126
1420,"(stage directions)",126
1421,"Sir Andrew Aguecheek",88
1422,"Sir Toby Belch",152
1423,"Fabian",51
1424,"Sir Andrew Aguecheek",88
1427,"Sir Toby Belch",152
1428,"Sir Andrew Aguecheek",88
1429,"Fabian",51
1430,"Sir Andrew Aguecheek",88
1431,"Fabian",51
1433,"Sir Toby Belch",152
1492,"Maria",59
1501,"Sir Toby Belch",152
1502,"(stage directions)",126
2516,"Olivia",118
1435,"Fabian",51
1447,"Sir Andrew Aguecheek",88
1450,"Sir Toby Belch",152
1456,"Fabian",51
1457,"Sir Andrew Aguecheek",88
1458,"Sir Toby Belch",152
1467,"Sir Andrew Aguecheek",88
1468,"Sir Toby Belch",152
1469,"(stage directions)",126
1470,"Fabian",51
1471,"Sir Toby Belch",152
1473,"Fabian",51
1475,"Sir Toby Belch",152
1481,"Fabian",51
1483,"(stage directions)",126
1484,"Sir Toby Belch",152
1485,"Maria",59
1491,"Sir Toby Belch",152
1504,"(stage directions)",126
822,"(stage directions)",126
1505,"Sebastian",31
1508,"Antonio",26
1518,"Sebastian",31
1525,"Antonio",26
1526,"Sebastian",31
1530,"Antonio",26
1535,"Sebastian",31
1536,"Antonio",26
1544,"Sebastian",31
1545,"Antonio",26
1550,"Sebastian",31
1551,"Antonio",26
1554,"Sebastian",31
1556,"Antonio",26
1557,"Sebastian",31
1558,"(stage directions)",126
1560,"(stage directions)",126
1561,"Olivia",118
1568,"Maria",59
1570,"Olivia",118
1571,"Maria",59
1574,"Olivia",118
1580,"Malvolio",87
1581,"Olivia",118
1583,"Malvolio",87
1588,"Olivia",118
1589,"Malvolio",87
1592,"Olivia",118
1593,"Malvolio",87
1594,"Olivia",118
1596,"Maria",59
1597,"Malvolio",87
1598,"Maria",59
1599,"Malvolio",87
1600,"Olivia",118
1601,"Malvolio",87
1602,"Olivia",118
1603,"Malvolio",87
1604,"Olivia",118
1605,"Malvolio",87
1606,"Olivia",118
1607,"Malvolio",87
1608,"Olivia",118
1609,"Malvolio",87
1610,"Olivia",118
1611,"Malvolio",87
1612,"Olivia",118
1613,"Malvolio",87
1614,"Olivia",118
1615,"(stage directions)",126
1616,"Servant",1
1619,"Olivia",118
1625,"(stage directions)",126
1692,"Fabian",51
1693,"Maria",59
1990,"Feste",104
1626,"Malvolio",87
1647,"(stage directions)",126
1648,"Sir Toby Belch",152
1651,"Fabian",51
1653,"Malvolio",87
1655,"Maria",59
1658,"Malvolio",87
1659,"Sir Toby Belch",152
1663,"Malvolio",87
1664,"Maria",59
1666,"Fabian",51
1667,"Maria",59
1669,"Malvolio",87
1670,"Maria",59
1671,"Sir Toby Belch",152
1673,"Fabian",51
1675,"Sir Toby Belch",152
1676,"Malvolio",87
1677,"Sir Toby Belch",152
1680,"Maria",59
1681,"Malvolio",87
1682,"Maria",59
1683,"Malvolio",87
1686,"(stage directions)",126
1687,"Sir Toby Belch",152
1688,"Fabian",51
1690,"Sir Toby Belch",152
1691,"Maria",59
1694,"Sir Toby Belch",152
1701,"(stage directions)",126
1702,"Fabian",51
1703,"Sir Andrew Aguecheek",88
1705,"Fabian",51
1706,"Sir Andrew Aguecheek",88
1707,"Sir Toby Belch",152
1710,"Fabian",51
1711,"Sir Toby Belch",152
1713,"Fabian",51
1714,"Sir Toby Belch",152
1717,"Fabian",51
1718,"Sir Toby Belch",152
1720,"Fabian",51
1721,"Sir Toby Belch",152
1722,"Fabian",51
1723,"Sir Toby Belch",152
1730,"Maria",59
1732,"Sir Toby Belch",152
1739,"Sir Andrew Aguecheek",88
1740,"(stage directions)",126
1796,"Sir Toby Belch",152
1802,"Viola",121
1741,"Sir Toby Belch",152
1754,"(stage directions)",126
1755,"Fabian",51
1757,"Sir Toby Belch",152
1759,"(stage directions)",126
1760,"Olivia",118
1765,"Viola",121
1767,"Olivia",118
1772,"Viola",121
1773,"Olivia",118
1775,"Viola",121
1776,"Olivia",118
1778,"(stage directions)",126
1779,"(stage directions)",126
1780,"Sir Toby Belch",152
1781,"Viola",121
1782,"Sir Toby Belch",152
1788,"Viola",121
1791,"Sir Toby Belch",152
1795,"Viola",121
1865,"Viola",121
1867,"Fabian",51
1807,"Sir Toby Belch",152
1814,"Viola",121
1818,"Sir Toby Belch",152
1820,"(stage directions)",126
1821,"Viola",121
1822,"Fabian",51
1824,"Viola",121
1825,"Fabian",51
1832,"Viola",121
1835,"(stage directions)",126
1836,"(stage directions)",126
1837,"Sir Toby Belch",152
1843,"Sir Andrew Aguecheek",88
1844,"Sir Toby Belch",152
1846,"Sir Andrew Aguecheek",88
1850,"Sir Toby Belch",152
1858,"Fabian",51
1860,"Sir Toby Belch",152
1868,"Sir Toby Belch",152
1873,"Sir Andrew Aguecheek",88
1874,"Viola",121
1875,"(stage directions)",126
1876,"(stage directions)",126
1877,"Antonio",26
1880,"Sir Toby Belch",152
1881,"Antonio",26
1883,"Sir Toby Belch",152
1884,"(stage directions)",126
1885,"(stage directions)",126
1886,"Fabian",51
1887,"Sir Toby Belch",152
1888,"Viola",121
1889,"Sir Andrew Aguecheek",88
1892,"First Officer",5
1893,"Second Officer",3
1894,"Antonio",26
1895,"First Officer",5
1898,"Antonio",26
1907,"Second Officer",3
1908,"Antonio",26
1909,"Viola",121
1916,"Antonio",26
1922,"Viola",121
1928,"Antonio",26
1929,"Second Officer",3
1993,"(stage directions)",126
2108,"(stage directions)",126
1930,"Antonio",26
1935,"First Officer",5
1936,"Antonio",26
1942,"First Officer",5
1943,"Antonio",26
1944,"(stage directions)",126
1945,"Viola",121
1949,"Sir Toby Belch",152
1951,"Viola",121
1957,"(stage directions)",126
1958,"Sir Toby Belch",152
1962,"Fabian",51
1963,"Sir Andrew Aguecheek",88
1964,"Sir Toby Belch",152
1965,"Sir Andrew Aguecheek",88
1966,"Fabian",51
1967,"Sir Toby Belch",152
1968,"(stage directions)",126
1971,"(stage directions)",126
1972,"Feste",104
1973,"Sebastian",31
1975,"Feste",104
1979,"Sebastian",31
1981,"Feste",104
1987,"Sebastian",31
1995,"Sebastian",31
1997,"Sir Toby Belch",152
1998,"Feste",104
2000,"(stage directions)",126
2001,"Sir Toby Belch",152
2002,"Sir Andrew Aguecheek",88
2006,"Sebastian",31
2007,"Sir Toby Belch",152
2009,"Sebastian",31
2011,"Sir Toby Belch",152
2013,"(stage directions)",126
2014,"Olivia",118
2015,"Sir Toby Belch",152
2016,"Olivia",118
2031,"Sebastian",31
2035,"Olivia",118
2036,"Sebastian",31
2037,"Olivia",118
2038,"(stage directions)",126
2040,"(stage directions)",126
2041,"Maria",59
2044,"(stage directions)",126
2045,"Feste",104
2052,"(stage directions)",126
2053,"Sir Toby Belch",152
2109,"Feste",104
2112,"Malvolio",87
2054,"Feste",104
2059,"Sir Toby Belch",152
2060,"Feste",104
2061,"Sir Toby Belch",152
2062,"Malvolio",87
2063,"Feste",104
2065,"Malvolio",87
2066,"Feste",104
2068,"Sir Toby Belch",152
2069,"Malvolio",87
2072,"Feste",104
2076,"Malvolio",87
2077,"Feste",104
2081,"Malvolio",87
2082,"Feste",104
2085,"Malvolio",87
2089,"Feste",104
2090,"Malvolio",87
2091,"Feste",104
2092,"Malvolio",87
2093,"Feste",104
2097,"Malvolio",87
2098,"Sir Toby Belch",152
2099,"Feste",104
2100,"Maria",59
2102,"Sir Toby Belch",152
2117,"Feste",104
2118,"Malvolio",87
2122,"Feste",104
2123,"Malvolio",87
2124,"Feste",104
2125,"Malvolio",87
2127,"Feste",104
2129,"Malvolio",87
2132,"Feste",104
2136,"Malvolio",87
2137,"Feste",104
2140,"Malvolio",87
2141,"Feste",104
2143,"Malvolio",87
2145,"Feste",104
2146,"Malvolio",87
2150,"Feste",104
2152,"Malvolio",87
2153,"Feste",104
2155,"Malvolio",87
2157,"Feste",104
2170,"(stage directions)",126
2172,"(stage directions)",126
2173,"Sebastian",31
2194,"(stage directions)",126
2195,"Olivia",118
2205,"Sebastian",31
2207,"Olivia",118
2209,"(stage directions)",126
2212,"(stage directions)",126
2213,"Fabian",51
2214,"Feste",104
2215,"Fabian",51
2216,"Feste",104
2217,"Fabian",51
2219,"(stage directions)",126
2220,"Orsino",59
2221,"Feste",104
2222,"Orsino",59
2223,"Feste",104
2225,"Orsino",59
2226,"Feste",104
2227,"Orsino",59
2228,"Feste",104
2235,"Orsino",59
2236,"Feste",104
2238,"Orsino",59
2239,"Feste",104
2241,"Orsino",59
2242,"Feste",104
2244,"Orsino",59
2246,"Feste",104
2250,"Orsino",59
2254,"Feste",104
2259,"(stage directions)",126
2260,"Viola",121
2261,"(stage directions)",126
2262,"Orsino",59
2271,"First Officer",5
2277,"Viola",121
2280,"Orsino",59
2284,"Antonio",26
2305,"Viola",121
2306,"Orsino",59
2307,"Antonio",26
2310,"(stage directions)",126
2311,"Orsino",59
2315,"Olivia",118
2318,"Viola",121
2319,"Orsino",59
2320,"Olivia",118
2321,"Viola",121
2322,"Olivia",118
2325,"Orsino",59
2326,"Olivia",118
2327,"Orsino",59
2331,"Olivia",118
2332,"Orsino",59
2347,"Viola",121
2349,"Olivia",118
2350,"Viola",121
2355,"Olivia",118
2356,"Viola",121
2357,"Olivia",118
2359,"Orsino",59
2360,"Olivia",118
2361,"Orsino",59
2362,"Olivia",118
2363,"Orsino",59
2364,"Viola",121
2365,"Olivia",118
2377,"Priest",1
2385,"Orsino",59
2391,"Viola",121
468,"Lepidus",33
2392,"Olivia",118
2394,"(stage directions)",126
2395,"Sir Andrew Aguecheek",88
2397,"Olivia",118
2398,"Sir Andrew Aguecheek",88
2401,"Olivia",118
2402,"Sir Andrew Aguecheek",88
2404,"Orsino",59
2405,"Sir Andrew Aguecheek",88
2408,"Viola",121
2411,"Sir Andrew Aguecheek",88
2417,"Orsino",59
2418,"Sir Toby Belch",152
2420,"Feste",104
2422,"Sir Toby Belch",152
2424,"Olivia",118
2425,"Sir Andrew Aguecheek",88
2426,"Sir Toby Belch",152
2428,"Olivia",118
2429,"(stage directions)",126
2430,"(stage directions)",126
2431,"Sebastian",31
2438,"Orsino",59
2440,"Sebastian",31
2443,"Antonio",26
2444,"Sebastian",31
2445,"Antonio",26
2448,"Olivia",118
197,"Helena",109
2449,"Sebastian",31
2455,"Viola",121
2460,"Sebastian",31
2466,"Viola",121
2467,"Sebastian",31
2468,"Viola",121
2470,"Sebastian",31
2473,"Viola",121
2483,"Sebastian",31
2488,"Orsino",59
2494,"Viola",121
2498,"Orsino",59
2500,"Viola",121
2504,"Olivia",118
2511,"Feste",104
2517,"Feste",104
2521,"Olivia",118
2522,"Feste",104
2524,"Olivia",118
2525,"Feste",104
2527,"Olivia",118
2528,"(stage directions)",126
2529,"Fabian",51
2539,"Olivia",118
2540,"Feste",104
2541,"Orsino",59
2542,"Olivia",118
2549,"Orsino",59
2557,"Olivia",118
2558,"(stage directions)",126
2559,"Orsino",59
2560,"Olivia",118
2562,"Malvolio",87
2564,"Olivia",118
2565,"Malvolio",87
198,"Parolles",141
199,"Helena",109
201,"Parolles",141
2580,"Olivia",118
2591,"Fabian",51
2605,"Olivia",118
2606,"Feste",104
2613,"Malvolio",87
2614,"(stage directions)",126
2615,"Olivia",118
2616,"Orsino",59
2625,"(stage directions)",126
2626,"Feste",104
2647,"(stage directions)",126
5,"Countess",87
6,"Bertram",102
9,"Lafeu",97
14,"Countess",87
15,"Lafeu",97
19,"Countess",87
26,"Lafeu",97
27,"Countess",87
29,"Lafeu",97
33,"Bertram",102
34,"Lafeu",97
35,"Bertram",102
36,"Lafeu",97
38,"Countess",87
46,"Lafeu",97
47,"Countess",87
53,"Helena",109
54,"Lafeu",97
56,"Countess",87
58,"Bertram",102
59,"Lafeu",97
202,"Helena",109
203,"Parolles",141
204,"Helena",109
205,"Parolles",141
60,"Countess",87
72,"Lafeu",97
74,"Countess",87
75,"(stage directions)",126
76,"Bertram",102
79,"Lafeu",97
81,"(stage directions)",126
82,"Helena",109
111,"Parolles",141
112,"Helena",109
113,"Parolles",141
114,"Helena",109
115,"Parolles",141
116,"Helena",109
119,"Parolles",141
120,"Helena",109
123,"Parolles",141
125,"Helena",109
184,"Helena",109
190,"(stage directions)",126
191,"Page",1
192,"(stage directions)",126
823,"Boy",2
128,"Parolles",141
138,"Helena",109
139,"Parolles",141
154,"Helena",109
155,"Parolles",141
168,"Helena",109
181,"Parolles",141
182,"Helena",109
183,"Parolles",141
193,"Parolles",141
195,"Helena",109
196,"Parolles",141
206,"Helena",109
209,"Parolles",141
219,"(stage directions)",126
220,"Helena",109
234,"(stage directions)",126
239,"King of France",87
242,"First Lord",48
243,"King of France",87
249,"First Lord",48
252,"King of France",87
257,"Second Lord",57
260,"King of France",87
261,"(stage directions)",126
262,"First Lord",48
264,"King of France",87
268,"Bertram",102
404,"Countess",87
625,"King of France",87
626,"(stage directions)",126
269,"King of France",87
294,"Bertram",102
298,"King of France",87
314,"Second Lord",57
316,"King of France",87
319,"Bertram",102
320,"King of France",87
325,"Bertram",102
326,"(stage directions)",126
329,"(stage directions)",126
330,"Countess",87
331,"Steward",6
336,"Countess",87
341,"Clown",58
342,"Countess",87
550,"Countess",87
552,"Helena",109
343,"Clown",58
347,"Countess",87
348,"Clown",58
349,"Countess",87
350,"Clown",58
354,"Countess",87
355,"Clown",58
357,"Countess",87
358,"Clown",58
360,"Countess",87
361,"Clown",58
364,"Countess",87
365,"Clown",58
367,"Countess",87
368,"Clown",58
382,"Countess",87
383,"Clown",58
389,"Countess",87
390,"Steward",6
392,"Countess",87
394,"Clown",58
2674,"(stage directions)",126
405,"Clown",58
413,"Countess",87
414,"Clown",58
419,"(stage directions)",126
420,"Countess",87
421,"Steward",6
422,"Countess",87
427,"Steward",6
443,"Countess",87
460,"Helena",109
461,"Countess",87
463,"Helena",109
553,"Countess",87
627,"First Lord",48
628,"Parolles",141
629,"Second Lord",57
630,"Parolles",141
631,"Bertram",102
